index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
0,359.98080284,100189.22968846,100237.91322588,100176.67510447,0.63523926,35.14999681,0
1,563.01249952,100166.20736681,100254.83041114,100166.32825418,0.65740866,32.73856216,1
2,317.03310042,99661.8790278,99734.28341315,99674.45833995,0.72838115,41.58607295,0
3,728.97334366,100080.41178081,100097.77597008,100072.13503851,0.52382006,29.12176124,0
4,360.79519438,99723.17562718,99683.42614289,99698.5496781,0.38982812,26.15041256,1
5,899.59035037,100037.88388331,100208.8503925,100048.68052803,0.69004929,20.24837058,0
6,97.25978307,99578.54199429,99573.11103024,99573.88191136,0.44416022,15.90326726,1
7,437.9148486,100023.60439086,100002.39962626,100048.37839596,0.45157788,25.11481176,0
8,786.87477796,100020.05258359,100073.07169094,100079.71593372,0.56737934,25.95953326,1
9,906.10882151,100034.95811546,100047.86440864,100047.20148361,0.51424364,16.41772849,0
10,64.43048632,99727.44972188,99730.01215483,99724.46759515,0.5397705,15.49308127,1
11,14.03917046,99701.79120472,99700.55590121,99697.12796669,0.41201022,40.36849992,0
12,109.20751921,99662.12591207,99686.71854987,99658.32033692,0.72519179,23.17807548,0
13,191.42565633,99687.4502677,99705.35949549,99696.89814153,0.59355709,33.41162701,0
14,351.92450735,99750.45346225,99726.89577989,99732.24133725,0.4330604,29.80572415,1
15,293.31931285,99813.02526392,99803.38285526,99812.23692886,0.46712658,38.53893435,1
16,97.47187895,99995.47367221,99988.89033861,99992.77698785,0.43245914,35.66688931,1
17,383.90463076,100232.30877702,100192.73026467,100217.1493837,0.39690535,26.70517325,1
18,173.18315162,100102.20383508,100078.14399392,100092.27363377,0.36107285,26.47649352,1
19,129.97880647,99720.3693406,99725.94839932,99720.44984814,0.54292283,41.24615249,0
20,420.78410313,99762.08837235,99696.42678771,99768.45436285,0.34395421,28.12191874,0
21,437.74716472,100093.30727661,100053.82689028,100049.17674933,0.40981006,40.90123507,1
22,192.85108012,99751.22044708,99739.51003309,99735.65454069,0.43927742,30.23655711,1
